produzent,typ,cap,seek,inch,cyl,hds,sec,cyl_l,hds_l,sec_l,pre,lnd,controller,mtbf,lift,date,notiz,sektors_al,mb,satz
RODIME,RO-3135A,112,19,3.5,923,7,0,0,0,0,0,0,IDE,0,,,,0,0,1626
RODIME,RO-3139S,112,0,3.5,1148,5,0,0,0,0,0,0,SCIS2,100,Y,,,0,0,1627
RODIME,RO-3151A,122,18,3.5,0,0,0,0,0,0,0,0,IDE,0,,,,0,0,1628
RODIME,RO-3259S,210,0,3.5,1189,9,0,0,0,0,0,0,SCSI2,100,,,,0,0,1629
RODIME,RO-3331S,331,13,3.5,1497,7,0,0,0,0,0,0,SCSI2,100,Y,,,0,0,1630
RODIME,RO-3426S,426,13,3.5,1497,9,0,0,0,0,0,0,SCSI2,100,Y,,,0,0,1631
RODIME,RO-3540S,540,13,3.5,1568,11,0,0,0,0,0,0,SCSI2,100,Y,,,0,0,1632
RODIME,RO-5178S,144,19,5.25,1219,7,0,0,0,0,0,0,SCSI,0,,,,0,0,1633
SAMSUNG,SHD-2040N,44,39,3.5,820,4,26,0,0,0,0,0,RLL,0,,,,85280,42,1634
SAMSUNG,SHD-2041B,47,29,3.5,820,4,28,0,0,0,0,0,AT,30,,,,91840,45,1635
SEAGATE,100S,88,15,3.5,1072,9,17,0,0,0,0,0,MFM,0,,,,164016,80,1636
SEAGATE,100S-I,80,28,5.25,1024,9,17,0,0,0,0,0,MFM,0,,,,156672,76,1637
SEAGATE,110CH-I,89,18,5.25,1024,5,36,0,0,0,0,0,SCSI,0,,,,184320,90,1638
SEAGATE,110EH-I,94,18,5.25,1024,5,34,0,0,0,0,0,ESDI,0,,,,174080,85,1639
SEAGATE,1201E,170,0,3.5,0,0,0,0,0,0,0,0,ESDI,0,,,,0,0,1640
SEAGATE,150S,133,15,3.5,1072,9,26,0,0,0,0,0,RLL,0,,,,250848,122,1641
SEAGATE,180C-I,155,16,5.25,969,9,34,0,0,0,0,0,SCSI,0,,,,296514,145,1642
SEAGATE,180E-I,151,16,5.25,969,9,34,0,0,0,0,0,ESDI,0,,,,296514,145,1643
SEAGATE,200AT,170,15,3.5,1072,9,36,0,0,0,0,0,AT,0,,,,347328,170,1644
SEAGATE,210CH-I,183,18,5.25,1544,5,0,0,0,0,0,0,SCSI,0,,,,0,0,1645
SEAGATE,3212,0,0,,612,2,0,0,0,0,0,0,,0,,,,0,0,1646
SEAGATE,97501-15G,1350,12,5F,0,17,0,0,0,0,0,0,SCSI2,100,,,,0,0,1647
SEAGATE,SG 10B,10,0,,305,4,0,0,0,0,0,0,,0,,,,0,0,1648
SEAGATE,SG 15C,15,0,,305,6,0,0,0,0,0,0,,0,,,,0,0,1649
SEAGATE,SG 5A,5,0,,152,4,0,0,0,0,0,0,,0,,,,0,0,1650
SEAGATE,SG 5B,5,0,,305,2,0,0,0,0,0,0,,0,,,,0,0,1651
SEAGATE,ST1057A,49,20,3H,940,3,36,0,0,0,,1023,AT-BUS,50,J,,,139264,68,1652
SEAGATE,ST1057N,49,20,3H,940,3,34,0,0,0,,0,SCSI,50,J,,,0,0,1653
SEAGATE,ST1090A,79,15,3.5,1072,5,29,0,0,0,0,0,AT,70,+,,,0,0,1654
SEAGATE,ST1090N,79,15,,1068,5,29,0,0,0,0,0,SCSI,70,+,,,0,0,1655
SEAGATE,ST1096N,84,24,3H,906,7,26,0,0,0,,909,SCSI,50,J,,,165620,81,1656
SEAGATE,ST1100,84,15,3.5,1072,9,17,0,0,0,0,0,MFM,70,,,,164016,80,1657
SEAGATE,ST1102A,84,20,3,965,5,0,1024,10,17,0,0,AT,50,,,,0,0,1658
SEAGATE,ST1102A,84,20,3H,1024,10,17,0,0,0,,1023,AT-BUS,50,J,,,174080,85,1659
SEAGATE,ST1102M,84,20,3.5,0,5,0,0,0,0,0,0,SCSI2,50,,,,0,0,1660
SEAGATE,ST1102N,84,20,3H,965,5,0,0,0,0,,0,SCSI,50,J,,,0,0,1661
SEAGATE,ST1106R,91,24,3.5,977,7,26,0,0,0,0,0,RLL,50,Y,,,177814,87,1662
SEAGATE,ST11102A,89,19,3.5,0,0,0,0,0,0,0,0,AT,150,,,,0,0,1663
SEAGATE,ST1111A,98,15,3.5,1072,5,36,0,0,0,0,0,AT,70,+,,,0,0,1664
SEAGATE,ST1111E,98,15,3.5,1072,5,36,0,0,0,0,0,ESDI,70,+,,,0,0,1665
SEAGATE,ST1111N,98,15,3.5,1068,5,36,0,0,0,0,0,SCSI,70,+,,,0,0,1666
SEAGATE,ST11200N,1050,12,3.5,1877,15,0,0,0,0,0,0,SCSI2,200,,,,0,0,1667
SEAGATE,ST1126A,111,15,3.5,1072,7,29,914,14,17,0,0,AT,70,+,1992-12-14,,217532,106,1668
SEAGATE,ST1126N,111,15,3.5,1068,7,29,0,0,0,0,0,SCSI,70,+,,,0,0,1669
SEAGATE,ST1133A,117,15,3.5,1272,5,36,0,0,0,0,0,AT,70,,,,0,0,1670
SEAGATE,ST1133N,113,15,3.5,1268,5,36,0,0,0,0,0,SCSI,0,,,,228240,111,1671
SEAGATE,ST1133NS,113,15,3.5,1268,5,36,0,0,0,0,0,SCSI2,150,Y,,,228240,111,1672
SEAGATE,ST1144A,126,20,3H,1009,7,34,1001,15,17,,1023,AT-BUS,50,J,,,261120,128,1673
SEAGATE,ST1144N,126,20,3H,0,0,0,0,0,0,,0,SCSI,50,J,,,0,0,1674
SEAGATE,ST1150R,133,15,3.5,1072,9,26,0,0,0,0,0,RLL,70,+,1992-12-14,,250848,122,1675
SEAGATE,ST1156A,138,15,3.5,1072,7,36,0,0,0,0,0,AT,70,+,,,0,0,1676
SEAGATE,ST1156E,138,15,3.5,1072,7,36,0,0,0,0,0,ESDI,70,+,,,0,0,1677
SEAGATE,ST1156N,138,15,3.5,1068,7,36,0,0,0,0,0,SCSI,70,+,,,0,0,1678
SEAGATE,ST1156NS,137,15,3.5,1068,7,36,0,0,0,0,0,SCSI2,70,Y,,,269136,131,1679
SEAGATE,ST1156R,138,15,3.5,1072,7,36,0,0,0,0,0,RLL,70,Y,,,270144,132,1680
SEAGATE,ST1162A,143,15,3.5,1072,9,29,0,0,0,0,0,AT,70,+,1992-12-14,,0,0,1681
SEAGATE,ST1162N,142,15,3.5,1068,9,29,0,0,0,0,0,SCSI,70,+,,,0,0,1682
SEAGATE,ST1182E,161,0,3.5,972,9,36,0,0,0,0,0,ESDI,0,Y,,,314928,154,1683
SEAGATE,ST1186A,164,15,3.5,1272,7,36,0,0,0,0,0,AT,70,+,,,0,0,1684
SEAGATE,ST1186A,164,15,3.5,636,9,56,0,0,0,0,0,AT,0,,,,320544,157,1685
SEAGATE,ST1186A,164,15,3.5,692,14,33,0,0,0,0,0,AT,0,,,,319704,156,1686
SEAGATE,ST1186N,158,15,3.5,1268,7,36,0,0,0,0,0,SCSI,150,,,,0,0,1687
SEAGATE,ST1186NS,163,15,3.5,1268,7,36,0,0,0,0,0,SCSI2,150,Y,,,319536,156,1688
SEAGATE,ST1201A,177,15,3.5,1072,9,36,804,9,48,0,0,AT,70,+,1992-12-14,,347328,170,1689
SEAGATE,ST1201E,177,15,3.5,1072,9,36,804,9,48,0,0,ESDI,70,+,,,0,0,1690
SEAGATE,ST1201N,177,15,3.5,1068,9,36,0,0,0,0,0,SCSI,70,+,1992-12-14,,346032,169,1691
SEAGATE,ST1239A,211,15,3.5,1272,9,36,954,12,36,0,0,AT,70,+,,,0,0,1692
SEAGATE,ST1239N,204,15,3.5,1268,9,36,0,0,0,0,0,SCSI,150,,,,0,0,1693
SEAGATE,ST1239NS,210,15,3.5,1268,9,36,0,0,0,0,0,SCSI2,150,Y,,,410832,201,1694
SEAGATE,ST124-0,21,40,3H,615,4,17,0,0,0,,614,MFM,70,N,1989-11-12,,41820,20,1695
SEAGATE,ST125A-0,21,40,3H,404,4,26,615,4,17,,403,AT-BUS,70,J,,,42016,21,1696
SEAGATE,ST125A-1,21,28,3H,404,4,26,0,0,0,,403,AT-BUS,70,J,,,42016,21,1697
SEAGATE,ST125N-0,22,40,3H,407,4,26,0,0,0,,406,SCSI,70,J,,,42328,21,1698
SEAGATE,ST125N-1,22,28,3H,407,4,26,0,0,0,,406,SCSI,70,J,,,42328,21,1699
SEAGATE,ST125-0,21,40,3H,615,4,17,0,0,0,,614,MFM,70,J,,,41820,20,1700
SEAGATE,ST125-1,21,28,3H,615,4,17,0,0,0,,614,MFM,70,J,,,41820,20,1701
SEAGATE,ST1274A,230,18,3.5,0,0,0,0,0,0,0,0,IDE,0,,,,0,0,1702
SEAGATE,ST137R,38,40,3H,615,4,26,0,0,0,,614,RLL,70,N,,,63960,31,1703
SEAGATE,ST138A-0,32,40,3H,604,4,26,615,6,17,,603,AT-BUS,70,J,,,62816,31,1704
SEAGATE,ST138A-1,32,28,3H,604,4,25,615,6,17,,603,AT-BUS,70,J,,,60400,29,1705
SEAGATE,ST138N-0,32,40,3H,615,4,26,0,0,0,,614,SCSI,70,J,,,63960,31,1706
SEAGATE,ST138N-1,32,28,3H,615,4,26,0,0,0,,614,SCSI,70,J,,,63960,31,1707
SEAGATE,ST138R-0,33,40,3H,615,4,26,0,0,0,,614,RLL,70,J,,,63960,31,1708
SEAGATE,ST138R-1,33,28,3H,615,4,26,0,0,0,,614,RLL,70,J,,,63960,31,1709
SEAGATE,ST138-0,32,40,3H,615,6,17,0,0,0,,614,MFM,70,J,,,62730,31,1710
SEAGATE,ST138-1,32,28,3H,615,6,17,0,0,0,,614,MFM,70,J,,,62730,31,1711
SEAGATE,ST1400A,331,14,3.5,1475,7,0,1018,12,53,0,0,AT,150,,,,0,0,1712
SEAGATE,ST1400N,331,14,3.5,1478,7,0,0,0,0,0,0,SCSI2,150,Y,,,0,0,1713
SEAGATE,ST1401A,338,12,3.5,1121,9,0,726,15,61,0,0,IDE,150,Y,,,0,0,1714
SEAGATE,ST1401N,338,12,3.5,1100,9,0,0,0,0,0,0,SCSI2,150,Y,,,0,0,1715
SEAGATE,ST1480A,426,14,3.5,1474,9,0,895,15,62,0,0,IDE,150,Y,,,0,0,1716
SEAGATE,ST1480N,426,14,3.5,1476,9,0,0,0,0,0,0,SCSI2,150,Y,,,0,0,1717
SEAGATE,ST151,43,24,3H,977,5,17,0,0,0,,976,MFM,50,J,,,83045,41,1718
SEAGATE,ST157A-0,45,40,3H,560,6,26,1024,5,17,,559,AT-BUS,70,J,,,87360,43,1719
SEAGATE,ST157A-1,45,28,3H,560,6,26,1024,5,17,,559,AT-BUS,70,J,,,87360,43,1720
SEAGATE,ST157N-0,49,40,3H,615,6,26,0,0,0,,614,SCSI,70,J,,,95940,47,1721
SEAGATE,ST157N-1,49,28,3H,615,6,26,0,0,0,,614,SCSI,70,J,,,95940,47,1722
SEAGATE,ST157R-0,49,40,3H,615,6,26,0,0,0,,614,RLL,70,J,,,95940,47,1723
SEAGATE,ST157R-1,49,28,3H,615,6,26,0,0,0,,614,RLL,70,J,,,95940,47,1724
SEAGATE,ST1581N,525,14,3.5,1476,9,0,0,0,0,0,0,SCSI2,150,,,,0,0,1725
SEAGATE,ST177N,61,24,3H,926,5,26,0,0,0,,925,SCSI,50,J,,,120380,59,1726
SEAGATE,ST1980N,860,11,3.5,1717,13,0,0,0,0,0,0,SCSI2,200,,,,0,0,1727
SEAGATE,ST206,0,0,5.25,306,2,17,0,0,0,128,0,MFM,0,,,,10404,5,1728
SEAGATE,ST2106E,89,18,5.25,1024,5,34,0,0,0,0,0,ESDI,100,+,,,0,0,1729
SEAGATE,ST2106N,89,18,5.25,1022,5,34,0,0,0,0,0,SCSI,100,+,,,0,0,1730
SEAGATE,ST212,10,0,5.25,306,4,17,0,0,0,128,0,MFM,0,,,,20808,10,1731
SEAGATE,ST2125N,110,18,5F,1544,3,0,0,0,0,0,0,SCSI,100,+,,,0,0,1732
SEAGATE,ST213,11,65,,615,2,17,0,0,0,300,0,MFM,0,,,,20910,10,1733
SEAGATE,ST2160E,94,0,,0,0,0,0,0,0,0,0,ESDI,0,,,,0,0,1734
SEAGATE,ST2182E,160,15,5F,1453,4,54,0,0,0,0,0,ESDI,100,+,,,0,0,1735
SEAGATE,ST2209N,183,18,5F,1544,5,0,0,0,0,0,0,SCSI,100,,,,0,0,1736
SEAGATE,ST224N,21,70,5H,615,2,26,0,0,0,,0,SCSI,100,N,,,0,0,1737
SEAGATE,ST225,21,65,5H,615,4,17,0,0,0,300,614,MFM,100,N,,,41820,20,1738
SEAGATE,ST225N,21,65,5H,615,4,17,0,0,0,300,614,SCSI,100,N,,,41820,20,1739
SEAGATE,ST225R,21,70,5H,667,2,31,0,0,0,,666,RLL,100,N,,,41354,20,1740
SEAGATE,ST2274A,193,16,5F,1747,5,54,1024,16,17,0,0,AT,100,+,,,0,0,1741
SEAGATE,ST2383A,338,16,5,1747,7,54,1024,16,17,0,0,AT,100,+,,,0,0,1742
SEAGATE,ST2383E,337,16,5F,1747,7,54,0,0,0,0,0,ESDI,100,+,,,0,0,1743
SEAGATE,ST2383N,338,14,5,1261,7,0,0,0,0,0,0,SCSI,100,+,,,0,0,1744
SEAGATE,ST2384A,330,18,5.25,0,0,0,0,0,0,0,0,IDE,0,,,,0,0,1745
SEAGATE,ST238R,33,65,5H,615,4,26,0,0,0,300,614,RLL,100,N,,,63960,31,1746
SEAGATE,ST2502N,440,16,5,1756,7,0,0,0,0,0,0,SCSI,100,+,,,0,0,1747
SEAGATE,ST250N,43,70,5H,0,2,0,0,0,0,,0,SCSI,100,N,,,0,0,1748
SEAGATE,ST250R,42,70,5H,667,4,31,0,0,0,,666,RLL,100,N,,,82708,40,1749
SEAGATE,ST251N-0,43,40,5H,820,4,26,0,0,0,,819,SCSI,70,J,,,85280,42,1750
SEAGATE,ST251N-1,43,28,5H,630,4,34,0,0,0,,629,SCSI,70,J,,,85680,42,1751
SEAGATE,ST251R-0,62,40,5H,820,6,26,0,0,0,,819,RLL,70,J,,,127920,62,1752
SEAGATE,ST251-0,43,40,5H,820,6,17,0,0,0,,819,MFM,100,J,,,83640,41,1753
SEAGATE,ST251-1,43,28,5H,820,6,17,0,0,0,,819,MFM,100,J,,,83640,41,1754
SEAGATE,ST252,43,40,5H,820,6,17,0,0,0,,819,MFM,100,J,,,83640,41,1755
SEAGATE,ST253,43,28,5,989,5,17,0,0,0,0,0,MFM,40,+,,,84065,41,1756
SEAGATE,ST274A,66,28,5,948,5,26,941,8,17,0,0,AT,40,+,,,0,0,1757
SEAGATE,ST277,42,0,,820,6,17,0,0,0,0,0,MFM,0,,,,83640,41,1758
SEAGATE,ST277N-0,65,40,5H,820,6,26,0,0,0,,819,SCSI,70,J,,,127920,62,1759
SEAGATE,ST277N-1,65,28,5H,628,6,34,0,0,0,,627,SCSI,70,J,,,128112,63,1760
SEAGATE,ST277R-0,66,40,5H,820,6,26,0,0,0,,819,RLL,70,J,,,127920,62,1761
SEAGATE,ST277R-1,66,28,5H,820,6,26,0,0,0,,819,RLL,70,J,,,127920,62,1762
SEAGATE,ST278R,66,40,5H,820,6,26,0,0,0,,819,RLL,70,J,,,127920,62,1763
SEAGATE,ST279R,65,28,5,989,5,26,0,0,0,0,0,RLL,40,+,,,128570,63,1764
SEAGATE,ST280A,71,29,5,1032,5,26,1024,8,17,0,0,AT,40,+,,,0,0,1765
SEAGATE,ST296N,85,28,5H,820,6,34,0,0,0,,819,SCSI,70,J,,,167280,82,1766
SEAGATE,ST3025A,21,20,3S,1616,1,26,0,0,0,,1023,AT-BUS,50,J,,,139264,68,1767
SEAGATE,ST3025N,21,20,3S,0,0,0,0,0,0,,0,SCSI,50,J,,,0,0,1768
SEAGATE,ST3051A,43,16,3.5,820,0,0,0,0,0,0,0,AT,150,,,,0,0,1769
SEAGATE,ST3057A,49,20,3S,940,3,34,0,0,0,,1023,AT-BUS,50,J,,,139264,68,1770
SEAGATE,ST3057N,49,20,3S,0,0,0,0,0,0,,0,SCSI,50,J,,,0,0,1771
SEAGATE,ST3096A,84,20,3S,1024,10,17,1024,10,17,,1023,AT-BUS,50,J,,,174080,85,1772
SEAGATE,ST3096N,84,20,3S,0,0,0,0,0,0,,0,SCSI,50,J,,,0,0,1773
SEAGATE,ST3120A,106,15,,1024,3,34,1024,12,17,0,0,AT,150,-,1992-12-14,,208896,102,1774
SEAGATE,ST3144A,130,16,,1001,3,85,1001,15,17,0,0,AT,150,,,,0,0,1775
SEAGATE,ST3144N,126,16,3.5,0,0,0,0,0,0,0,0,SCSI,150,J,,,0,0,1776
SEAGATE,ST325A,21,45,3S,615,4,17,0,0,0,,614,AT-BUS,50,J,,,41820,20,1777
SEAGATE,ST325N,21,45,3S,0,0,0,0,0,0,,0,SCSI,50,J,,,0,0,1778
SEAGATE,ST325X,21,45,3S,697,2,30,0,0,0,,614,XT,50,J,,,41820,20,1779
SEAGATE,ST3283A,245,12,,1024,5,0,978,14,35,0,0,AT,200,,,,0,0,1780
SEAGATE,ST3283N,248,12,3.5,0,0,0,0,0,0,0,0,SCSI2,200,,,,0,0,1781
SEAGATE,ST3500A,426,11,3.5,1546,7,0,0,0,0,0,0,AT,200,,,,0,0,1782
SEAGATE,ST3500N,426,11,3.5,1546,7,0,0,0,0,0,0,SCSI2,200,,,,0,0,1783
SEAGATE,ST351A/X,42,28,3.5,904,2,0,820,6,17,0,0,AT/XT,150,,,,0,0,1784
SEAGATE,ST3600A,525,12,3.5,1877,7,0,0,0,0,0,0,AT,200,,,,0,0,1785
SEAGATE,ST3600N,525,12,3.5,1877,7,0,0,0,0,0,0,SCSI2,200,,,,0,0,1786
SEAGATE,ST4026,21,40,5F,615,4,17,0,0,0,300,0,MFM,0,,,,41820,20,1787
SEAGATE,ST4030,31,0,,733,5,17,0,0,0,0,0,MFM,0,,,,62305,30,1788
SEAGATE,ST4038,32,40,5F,733,5,17,0,0,0,0,0,MFM,0,+,,,62305,30,1789
SEAGATE,ST4038M,31,40,5F,733,5,17,0,0,0,0,0,MFM,0,,,,62305,30,1790
SEAGATE,ST4051,42,40,5,977,5,17,0,0,0,0,0,MFM,0,+,,,83045,41,1791
SEAGATE,ST4051N,0,28,5.25,977,5,0,0,0,0,0,0,SCSI,0,,,,0,0,1792
SEAGATE,ST4053,45,28,5F,1024,5,17,0,0,0,,1023,MFM,40,J,,,87040,42,1793
SEAGATE,ST406,5,85,5.25,306,2,17,0,0,0,128,0,MFM,0,,,,10404,5,1794
SEAGATE,ST4077N,66,28,5.25,1024,5,26,0,0,0,0,0,SCSI,0,,,,0,0,1795
SEAGATE,ST4077R,65,28,5F,1024,5,26,0,0,0,0,0,RLL,0,,,,127010,62,1796
SEAGATE,ST4085,71,28,5F,1024,8,17,0,0,0,0,0,MFM,40,+,,,139264,68,1797
SEAGATE,ST4086,72,28,5F,925,9,17,0,0,0,0,0,MFM,0,+,,,141525,69,1798
SEAGATE,ST4096,80,28,5F,1024,9,17,0,0,0,,1023,MFM,40,J,,,156672,76,1799
SEAGATE,ST4096N,0,0,5.25,1147,8,0,0,0,0,0,0,SCSI,0,,,,0,0,1800
SEAGATE,ST4096-0,80,40,5F,1024,9,17,0,0,0,0,0,MFM,25,+,,,156672,76,1801
SEAGATE,ST4097,80,28,5F,1024,9,17,0,0,0,0,0,MFM,40,+,,,156672,76,1802
SEAGATE,ST41097J,950,11,5F,2101,17,0,0,0,0,0,0,DUAL SMD,150,,,,0,0,1803
SEAGATE,ST412,11,85,5F,306,4,17,0,0,0,128,0,MFM,0,,,,20808,10,1804
SEAGATE,ST41200N,1050,15,5F,1931,15,0,0,0,0,0,0,SCSI,100,+,,,0,0,1805
SEAGATE,ST41201J,1055,11,5F,2101,17,0,0,0,0,0,0,DUAL SMD,150,,,,0,0,1806
SEAGATE,ST41201K,1050,11,5F,2101,17,0,0,0,0,0,0,DUAL IPI,150,,,,0,0,1807
SEAGATE,ST4135R,115,28,5F,990,9,26,0,0,0,0,0,RLL,40,+,,,231660,113,1808
SEAGATE,ST4144N,0,28,5.25,1024,9,26,0,0,0,0,0,SCSI,0,,,,0,0,1809
SEAGATE,ST4144R,123,28,5F,1024,9,26,0,0,0,,1023,RLL,40,J,,,239616,117,1810
SEAGATE,ST41520N,1352,11,5F,2101,17,0,0,0,0,0,0,SCSI2,150,,,,0,0,1811
SEAGATE,ST41600N,1352,11,5F,2101,17,0,0,0,0,0,0,SCSI2,150,,,,0,0,1812
SEAGATE,ST41601N,1352,11,5F,2101,17,0,0,0,0,0,0,SCSI2,150,,,,0,0,1813
SEAGATE,ST41650E,1420,12,5.25,0,0,0,0,0,0,0,0,ESDI,0,,,,0,0,1814
SEAGATE,ST41650N,1415,15,5F,2107,15,0,0,0,0,0,0,SCSI2,150,,,,0,0,1815
SEAGATE,ST41651N,1415,15,5F,2107,15,0,0,0,0,0,0,SCSI2,150,,,,0,0,1816
SEAGATE,ST41800K,1800,11,5F,2627,18,0,0,0,0,0,0,DUAL IPI,150,,,,0,0,1817
SEAGATE,ST4182E,151,17,5F,969,9,35,0,0,0,0,0,ESDI,100,+,,,305235,149,1818
SEAGATE,ST4182N,150,17,5F,969,9,35,0,0,0,0,0,SCSI,100,+,,,0,0,1819
SEAGATE,ST419,15,85,5.25,306,6,17,0,0,0,128,0,MFM,0,,,,31212,15,1820
SEAGATE,ST4192,169,17,5F,1147,8,36,0,0,0,,1146,MFM,25,J,,,330336,161,1821
SEAGATE,ST4192E,169,17,5.25,1147,8,36,0,0,0,0,0,ESDI,0,,,,330336,161,1822
SEAGATE,ST4192N,168,17,5.25,1147,8,36,0,0,0,0,0,SCSI,0,,,,330336,161,1823
SEAGATE,ST42100N,1900,13,5F,2574,15,0,0,0,0,0,0,SCSI2,150,,,,0,0,1824
SEAGATE,ST42101N,1900,13,5F,2574,15,0,0,0,0,0,0,SCSI2,150,,,,0,0,1825
SEAGATE,ST42400N,2129,11,5F,2627,19,0,0,0,0,0,0,SCSI2,150,,,,0,0,1826
SEAGATE,ST425,21,0,5.25,306,8,17,0,0,0,0,0,MFM,0,,,,41616,20,1827
SEAGATE,ST43200K,3000,11,5F,2627,20,0,0,0,0,0,0,DUAL IPI,150,,,,0,0,1828
SEAGATE,ST43400N,2846,11,5F,2627,21,0,0,0,0,0,0,SCSI2,150,,,,0,0,1829
SEAGATE,ST43401N,2846,11,5F,2627,21,0,0,0,0,0,0,SCSI2,150,,,,0,0,1830
SEAGATE,ST4350N,307,17,5F,1412,9,0,0,0,0,0,0,SCSI,100,+,,,0,0,1831
SEAGATE,ST4376N,330,18,5F,1549,9,29,0,0,0,0,0,SCSI,100,+,,,0,0,1832
SEAGATE,ST4383E,319,18,5F,1412,13,35,0,0,0,0,0,ESDI,100,+,,,642460,314,1833
SEAGATE,ST4384E,319,15,5F,1224,15,35,0,0,0,0,0,ESDI,100,+,,,642600,314,1834
SEAGATE,ST4385N,337,11,5F,791,15,0,0,0,0,0,0,SCSI,100,+,,,0,0,1835
SEAGATE,ST4442E,368,16,5F,1412,15,35,0,0,0,0,0,ESDI,100,+,,,741300,362,1836
SEAGATE,ST4702N,613,17,5F,1546,15,0,0,0,0,0,0,SCSI,100,+,,,0,0,1837
SEAGATE,ST4766E,676,16,5F,1632,15,53,0,0,0,0,0,ESDI,100,+,,,0,0,1838
SEAGATE,ST4766N,676,16,5F,1632,15,54,0,0,0,0,0,SCSI,100,+,,,0,0,1839
SEAGATE,ST4767E,676,11,5F,1399,15,0,0,0,0,0,0,ESDI,150,,,,0,0,1840
SEAGATE,ST4767N,676,12,5F,1362,15,0,0,0,0,0,0,SCSI,100,+,,,0,0,1841
SEAGATE,ST4769E,631,15,5.25,1552,15,53,0,0,0,0,0,ESDI,150,Y,,,1233840,602,1842
SEAGATE,ST4806,72,28,5,918,9,17,0,0,0,0,0,MFM,40,,,,140454,69,1843
SEAGATE,ST506,5,85,5.25,153,4,17,0,0,0,128,0,MFM,0,,,,10404,5,1844
SEAGATE,ST6165J,140,30,,823,10,0,0,0,0,0,0,SMD,10,,,,0,0,1845
SEAGATE,ST6315J,280,20,,823,19,0,0,0,0,0,0,SMD-E,30,,,,0,0,1846
SEAGATE,ST6344J,344,18,9,711,24,0,0,0,0,0,0,SMD,30,Y,,,0,0,1847
SEAGATE,ST6516J,516,18,9,711,24,0,0,0,0,0,0,SMD-E,30,Y,,,0,0,1848
SEAGATE,ST6516K,516,18,9,711,24,0,0,0,0,0,0,IPI2,30,Y,,,0,0,1849
SEAGATE,ST683J,83,30,,823,5,0,0,0,0,0,0,SMD,8,,,,0,0,1850
SEAGATE,ST706,5,0,5.25,306,2,17,0,0,0,128,0,MFM,0,,,,10404,5,1851
SEAGATE,ST81123J,1050,15,8,1635,15,0,0,0,0,0,0,SMD-O/E,100,Y,,,0,0,1852
SEAGATE,ST81154K(T),1050,15,8,1635,14,0,1635,7,0,0,0,IPI2,100,Y,,,0,0,1853
SEAGATE,ST81236,1056,15,8,1635,15,0,0,0,0,0,0,SMD-O/E,100,Y,,,0,0,1854
SEAGATE,ST81236J,1236,15,,1635,15,0,0,0,0,0,0,SMD-E,100,,,,0,0,1855
SEAGATE,ST81236K,1056,15,8,1635,15,0,0,0,0,0,0,IPI2,100,Y,,,0,0,1856
SEAGATE,ST81236N,1049,15,8,1635,15,0,0,0,0,0,0,SCSI,100,Y,,,0,0,1857
SEAGATE,ST82038J,1800,12,8,2611,19,0,0,0,0,0,0,SMD-E,150,Y,,,0,0,1858
SEAGATE,ST82105K,1850,13,8,2611,16,0,2611,2,0,0,0,IPI2,80,Y,,,0,0,1859
SEAGATE,ST82272J,1950,13,8,2611,19,0,0,0,0,0,0,SMD-E,150,Y,,,0,0,1860
SEAGATE,ST82368K,2050,13,8,2611,18,0,2611,2,0,0,0,IPI2,64,Y,,,0,0,1861
SEAGATE,ST82500J,2140,13,8,2611,19,0,0,0,0,0,0,SMD-O/E,150,Y,,,0,0,1862
SEAGATE,ST82500K,2140,13,8,2611,19,0,0,0,0,0,0,IPI2,150,Y,,,0,0,1863
SEAGATE,ST82500N,2140,13,8,2611,19,0,0,0,0,0,0,SCSI,150,Y,,,0,0,1864
SEAGATE,ST83050,2650,12,8,1655,18,0,0,0,0,0,0,IPI2,150,Y,,,0,0,1865
SEAGATE,ST83220,2800,12,8,1655,19,0,0,0,0,0,0,IPI2,150,Y,,,0,0,1866
SEAGATE,ST8368J,368,18,8,1217,10,0,0,0,0,0,0,SMD-E,30,Y,,,0,0,1867
SEAGATE,ST8368N,316,18,8,1217,10,0,0,0,0,0,0,SCSI,30,Y,,,0,0,1868
SEAGATE,ST8500J,500,18,8,1217,10,0,0,0,0,0,0,SMD-E,30,Y,,,0,0,1869
SEAGATE,ST8500N,378,18,8,1217,10,0,0,0,0,0,0,SCSI,30,Y,,,0,0,1870
SEAGATE,ST8741J,736,15,8,1635,15,0,0,0,0,0,0,SMD-E,50,Y,,,0,0,1871
SEAGATE,ST8741N,637,15,8,1635,15,0,0,0,0,0,0,SCSI,50,Y,,,0,0,1872
SEAGATE,ST8851J,727,15,8,1381,15,0,0,0,0,0,0,SMD-O/E,100,Y,,,0,0,1873
SEAGATE,ST8851K,727,15,8,1381,15,0,0,0,0,0,0,IPI2,100,Y,,,0,0,1874
SEAGATE,ST8851N,727,15,8,1381,15,0,0,0,0,0,0,SCSI,100,Y,,,0,0,1875
SEAGATE,ST9025A,21,20,2.5,654,2,32,0,0,0,0,0,IDE,150,Y,,,41856,20,1876
SEAGATE,ST9051A,42,19,2.5,654,4,32,0,0,0,0,0,AT,150,,,,0,0,1877
SEAGATE,ST9052A,42,16,2.5,1024,16,0,0,0,0,0,0,AT,150,,,,0,0,1878
SEAGATE,ST9077A,64,16,2.5,1024,16,0,0,0,0,0,0,AT,150,,,,0,0,1879
